"Group","Company Name","Website","Country","Industry","Employee Range","Founder / Managing Director","Public Email","Contact Page","LinkedIn","AI Adoption Signals","Reason To Buy Zwima AI","Estimated Monthly Spend","Ease Of Contact Score","Buying Probability Score","Priority"
"Group A","WMS Vertriebs GmbH","https://wms-werkzeuge.de","Germany","Tool Trading / Industrial Supply","~24","Urban Eggensperger / Yasmin Eggensperger / Oliver Graf","info@wms-werkzeuge.de","https://wms-werkzeuge.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=WMS%20Werkzeuge","B2B online shop, e-commerce relaunch, social channels and 400k+ articles","AI can generate product/category text, quote emails, SEO copy and supplier translations","€200","85","87","Hot"
"Group C","Claneo GmbH","https://www.claneo.com","Germany","SEO / Content Agency","80-100","Magdalena Mues / Martin Grahl / Matthäus Michalik","","https://www.claneo.com/de/kontakt/","https://www.linkedin.com/company/claneo","GEO/LLMO services, ChatGPT and AI Search Optimization","AI credits for research, reporting, GEO workshops and client content production","€200","78","86","Hot"
"Group D","Peerigon GmbH","https://www.peerigon.com","Germany","Software Agency","20-50","Johannes Ewald / Matthias Jahn / Michael Jaser / Paul Torka / Stephan Batteiger","","https://www.peerigon.com/de/kontakt/","https://www.linkedin.com/company/peerigon","Modern JS/TypeScript agency publishing software and AI-related technical content","Team model access for coding, docs, research and client proof-of-concepts","€200","78","86","Hot"
"Group C","SaphirSolution GmbH","https://www.saphirsolution.de","Germany","Online Marketing Agency","10-30","Sebastian Denzin / Niclas Weskamp","info@saphirsolution.de","https://www.saphirsolution.de/kontakt/","https://www.linkedin.com/company/saphirsolution","GEO and AI Search services for ChatGPT, Perplexity and SGE","AI workspace for AI-search audits, content generation and client reporting","€100","84","85","Hot"
"Group D","qupaya technologies GmbH","https://qupaya.com","Germany","Software Agency","10-25","Markus Ende / Peter Müller","mail@qupaya.com","https://qupaya.com/contact/","https://www.linkedin.com/company/qupaya","Mentions ChatGPT risks in developer workflows and offers expert software guidance","Multi-model account for code review, docs, customer Q&A and engineering research","€100","82","85","Hot"
"Group A","WESTO Zerspanungswerkzeuge J. Wendt u. U. Stoldt GmbH","https://www.westo-werkzeuge.de","Germany","Cutting Tool Trading","20-49","Benjamin Janson / Sebastian Janson","info@westo-werkzeuge.de","https://www.westo-werkzeuge.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=WESTO%20Zerspanungswerkzeuge","New leadership with B2B/B2C e-commerce experience and callback workflow","AI can draft quotes, supplier emails, translated explanations and follow-ups","€100","87","85","Hot"
"Group B","Avocadostore GmbH","https://www.avocadostore.de","Germany","Sustainable E-commerce Marketplace","20-50","Mimi Sewalski / public management","","https://www.avocadostore.de/contact","https://www.linkedin.com/company/avocadostore","Marketplace with content-heavy sustainable product listings","AI can support merchant content, category copy, translations and customer replies","€100","78","84","Warm"
"Group D","bitExpert AG","https://www.bitexpert.de","Germany","Software Agency","25-80","Mathias Henss / Mathias Fecht","","https://www.bitexpert.de/de/kontakt","https://www.linkedin.com/company/bitexpert-ag","Offers KI-readiness, KI prototyping and KI-agent integration","Zwima can route models for prototypes, compliance agents and team API billing","€200","76","84","Warm"
"Group C","mindshape GmbH","https://www.mindshape.de","Germany","Digital / SEO Agency","20-50","Sebastian Erlhofer / Robert Neumcke","","https://www.mindshape.de/kontakt","https://www.linkedin.com/company/mindshape-gmbh","GEO agency, ChatGPT / AI Overviews visibility and AI as content co-pilot","AI access for SEO content, technical content and client reporting","€100","80","83","Warm"
"Group B","roastmarket GmbH","https://www.roastmarket.de","Germany","E-commerce / Specialty Retail","50-100","Public management not confirmed","","https://www.roastmarket.de/kontakt","https://www.linkedin.com/company/roastmarket","Large product catalog, SEO content and online customer service","AI can support product descriptions, buying guides, ad copy and support replies","€100","76","83","Warm"
"Group C","artundweise GmbH","https://www.artundweise.de","Germany","Digital / Content Agency","20-50","Dirk Beckmann","","https://www.artundweise.de/kontakt","https://www.linkedin.com/company/artundweise","GEO/LLMO, ChatGPT/Bard content and AI marketing discussions","AI workspace for content strategy, prompt libraries, reporting and client copy","€100","78","82","Warm"
"Group D","craftworks GmbH","https://www.craftworks.ai","Austria","AI Consulting / Software","20-50","Public management not confirmed","hello@craftworks.ai","https://www.craftworks.ai/contact","https://www.linkedin.com/company/craftworks-ai","AI consultancy and custom AI solutions","Multi-model access for client pilots, prompt testing and API cost control","€200","76","82","Warm"
"Group A","THS Technischer Handel Sonn GmbH","https://www.ths-iso.de","Germany","Industrial Supply / Technical Trading","20-49","Cordula Sonn / Alexander Weber","info@ths-iso.de","https://www.ths-iso.de/kontakt/","https://www.linkedin.com/search/results/companies/?keywords=THS%20Technischer%20Handel%20Sonn","Online shop/domain presence, NORDWEST catalog access and fast logistics","AI can support product-fit answers, category copy, outreach and translations","€100","84","82","Warm"
"Group B","JUNGLÜCK GmbH","https://junglueck.de","Germany","DTC Cosmetics E-commerce","50-100","Benedikt Böckenförde / public management","","https://junglueck.de/pages/kontakt","https://www.linkedin.com/company/junglueck","DTC brand with content, SEO, ads and multilingual support workload","AI can generate product education, ads, email flows and support content","€200","74","82","Warm"
"Group D","enliteAI GmbH","https://www.enlite.ai","Austria","AI Consulting / Software","20-50","Public management not confirmed","office@enlite.ai","https://www.enlite.ai/contact","https://www.linkedin.com/company/enliteai","AI consulting and computer vision / ML projects","Model access and billing aggregation for client prototypes and internal research","€200","76","81","Warm"
"Group C","Projecter GmbH","https://www.projecter.de","Germany","Performance Marketing Agency","50-100","Public management not confirmed","info@projecter.de","https://www.projecter.de/kontakt/","https://www.linkedin.com/company/projecter-gmbh","Performance agency likely using AI for paid media, SEO and reporting","AI credits for campaign copy, research, reporting summaries and client comms","€100","78","81","Warm"
"Group B","Kapten & Son GmbH","https://kapten-son.com","Germany","DTC Fashion / Accessories","50-100","Public management not confirmed","","https://kapten-son.com/pages/contact","https://www.linkedin.com/company/kapten-son","International DTC brand with multilingual content and social commerce","AI can create product copy, ad variations, support templates and translations","€200","72","81","Warm"
"Group D","Leftshift One GmbH","https://www.leftshift.one","Austria","AI Software / Consulting","20-50","Public management not confirmed","office@leftshift.one","https://www.leftshift.one/contact","https://www.linkedin.com/company/leftshift-one","AI product and enterprise assistant company","Could use Zwima for multi-model evaluation, API aggregation and cost control","€200","72","80","Warm"
"Group A","Z&K Industriebedarf GmbH","https://zkindustriebedarf.de","Germany","Industrial Supply / Tool Trading","5-9","Maximilian Mohr","Info@ZK-Industriebedarf.de","https://zkindustriebedarf.de/Impressum","https://www.linkedin.com/in/maximilian-mohr-6057172a5","Website and eBay shop; successor-led small business","Low-friction AI assistant for listing text, support replies, lead research and quotes","€50","89","80","Warm"
"Group C","moccu GmbH & Co. KG","https://www.moccu.com","Germany","Digital Agency","50-100","Public management not confirmed","info@moccu.com","https://www.moccu.com/kontakt/","https://www.linkedin.com/company/moccu","Digital agency with content and client delivery workload","AI workspace for research, concept drafts, proposals and reporting","€100","76","80","Warm"
"Group B","PURELEI GmbH","https://purelei.com","Germany","DTC Jewelry E-commerce","50-100","Public management not confirmed","","https://purelei.com/pages/contact","https://www.linkedin.com/company/purelei","International DTC brand with multilingual product and social content","AI can support product copy, ad creatives, email marketing and translations","€200","70","80","Warm"
"Group D","Lizard Global","https://www.lizard.global","Netherlands","App Development Agency","50-100","Public management not confirmed","","https://www.lizard.global/contact","https://www.linkedin.com/company/lizard-global","App agency likely using AI for development and ideation","Multi-model access for coding, app concepts, documentation and client prototypes","€200","72","79","Warm"
"Group C","Claneo Benelux / Seeders","https://seeders.com","Netherlands","SEO / Marketing Agency","50-100","Public management not confirmed","","https://seeders.com/contact/","https://www.linkedin.com/company/seeders","International SEO and digital PR workflows with AI-ready content needs","AI for research, outreach personalization, reports and multilingual content","€100","74","79","Warm"
"Group A","HK-Industriebedarf GmbH","https://hk-industriebedarf.de","Germany","Industrial Supply / Tool Wholesale","12","Heiko Krause","info@hk-industriebedarf.de","https://hk-industriebedarf.de/kontakt/","https://www.linkedin.com/search/results/companies/?keywords=HK-Industriebedarf%20GmbH","ERP NW 365, online shop/contact presence and multi-site operations","AI can draft offers, summarize requests, create product text and test AI workflows","€100","86","79","Warm"
"Group C","Delante","https://delante.co","Poland","SEO / Content Agency","50-100","Public management not confirmed","","https://delante.co/contact/","https://www.linkedin.com/company/delante","SEO/content agency familiar with AI-driven search and content tools","AI for SEO content, reporting, research and multilingual outreach","€100","74","78","Warm"
"Group B","Velasca","https://www.velasca.com","Italy","DTC Fashion E-commerce","50-100","Enrico Casati / Jacopo Sebastio","","https://www.velasca.com/pages/contact","https://www.linkedin.com/company/velasca","International DTC brand with multilingual product storytelling","AI can generate localized product copy, ads, support and SEO content","€200","70","78","Warm"
"Group D","Belka","https://www.belkadigital.com","Italy","Software / Product Studio","20-50","Public management not confirmed","","https://www.belkadigital.com/contact","https://www.linkedin.com/company/belka-digital","Digital product studio likely using AI in design/dev workflows","Multi-model access for product discovery, coding, docs and proposals","€100","72","78","Warm"
"Group C","Elephate","https://www.elephate.com","Poland","SEO / Content Marketing Agency","50-100","Public management not confirmed","","https://www.elephate.com/contact/","https://www.linkedin.com/company/elephate","SEO/content agency with AI-relevant research and reporting workload","AI for content briefs, reporting, research and multilingual client communication","€100","72","77","Warm"
"Group B","Stoov","https://stoov.com","Netherlands","DTC Consumer Products","50-100","Public management not confirmed","","https://stoov.com/pages/contact","https://www.linkedin.com/company/stoov","International e-commerce brand with multilingual product and support needs","AI for product descriptions, support macros, translation and ad copy","€100","70","77","Warm"
"Group D","Craftzing","https://www.craftzing.com","Belgium","Digital Product / Software Agency","50-100","Public management not confirmed","","https://www.craftzing.com/contact","https://www.linkedin.com/company/craftzing","Digital product agency with AI-suitable research and development workflows","Multi-model access for prototypes, UX research, reports and technical docs","€100","70","77","Warm"
"Group A","T.E.A.M. Industriebedarf GmbH","https://www.die-welt-der-werkzeuge.de","Germany","Industrial Supply / Tool Trading","20-49","Rainer Greuel / Rene Haas","order@team-industriebedarf.de","https://www.die-welt-der-werkzeuge.de/de/kontakt/","https://www.linkedin.com/search/results/companies/?keywords=T.E.A.M.%20Industriebedarf%20GmbH","B2B shop, order/invoice workflows and customer portal signals","AI can draft replies, product explanations, translations and sales emails","€100","82","77","Warm"
"Group C","MOCA Interactive","https://www.mocainteractive.com","Italy","SEO / Digital Marketing Agency","20-50","Public management not confirmed","","https://www.mocainteractive.com/contatti/","https://www.linkedin.com/company/moca-interactive","SEO and digital marketing agency with content and reporting workload","AI for SEO content, reports, research, client comms and ad copy","€100","72","76","Warm"
"Group B","Komono","https://www.komono.com","Belgium","DTC Fashion / Accessories","20-50","Public management not confirmed","","https://www.komono.com/pages/contact","https://www.linkedin.com/company/komono","International DTC product catalog and multilingual customer support","AI for product copy, ad copy, social content and support translations","€100","70","76","Warm"
"Group D","Apiumhub","https://apiumhub.com","Spain","Software Architecture / Development","50-100","Public management not confirmed","","https://apiumhub.com/contact/","https://www.linkedin.com/company/apiumhub","Software agency likely paying for coding and AI-assisted dev tools","Model routing and team accounts for coding, API tests and documentation","€200","70","76","Warm"
"Group A","Industriebedarf Castan GmbH","https://www.industriebedarf-castan.de","Germany","Technical Supply / Hose and Fittings","20-49","Roland Pitsch / Patrick Pitsch","info@castan.de","https://www.industriebedarf-castan.de/kontakt/","https://www.linkedin.com/search/results/companies/?keywords=Industriebedarf%20Castan%20GmbH","EDV-supported processing, shop/cart signals and 50k+ technical articles","AI can draft quotations, translate supplier data and create product documentation","€100","80","76","Warm"
"Group C","Adrenalina","https://www.adrenalina.es","Spain","SEO / Digital Agency","20-50","Public management not confirmed","","https://www.adrenalina.es/contacto/","https://www.linkedin.com/company/adrenalina","SEO/content agency with likely AI-assisted content and search workflows","AI for content drafts, reports, proposals and multilingual client communication","€100","70","75","Warm"
"Group B","Asphalte","https://www.asphalte.com","France","DTC Fashion E-commerce","50-100","Public management not confirmed","","https://www.asphalte.com/pages/contact","https://www.linkedin.com/company/asphalte","Content-heavy DTC brand with international community-led commerce","AI for product storytelling, emails, customer support and translation","€100","68","75","Warm"
"Group D","The Left Bit","https://theleftbit.com","Spain","App Development Company","20-50","Public management not confirmed","","https://theleftbit.com/contact","https://www.linkedin.com/company/the-left-bit","Mobile app agency with AI-ready development and documentation needs","Multi-model team access for coding, research, specs and client demos","€100","70","75","Warm"
"Group A","WST Stein Werkzeugmaschinen GmbH","https://www.wst-stein.com","Germany","Machinery Trading","20-49","Manfred Stein","info@wst-stein.com","https://www.wst-stein.com/de/Kontakt","https://www.linkedin.com/search/results/companies/?keywords=WST%20Stein%20Werkzeugmaschinen","Machine listings, inquiry workflow and digital sales channel","AI can create machine descriptions, translate inquiries and draft offer emails","€100","78","75","Warm"
"Group C","Human Level","https://www.humanlevel.com","Spain","SEO / Digital Marketing Agency","20-50","Public management not confirmed","","https://www.humanlevel.com/contacto","https://www.linkedin.com/company/human-level-communications","SEO and digital strategy agency familiar with AI search disruption","AI for SEO research, content, reports and proposal creation","€100","68","74","Warm"
"Group B","Pompeii Brand","https://pompeiibrand.com","Spain","DTC Fashion E-commerce","50-100","Public management not confirmed","","https://pompeiibrand.com/pages/contact","https://www.linkedin.com/company/pompeii-brand","International DTC product content and social commerce workload","AI for ad copy, social posts, product copy and customer support","€100","68","74","Warm"
"Group D","Develapps","https://develapps.com","Spain","App Development Company","20-50","Public management not confirmed","","https://develapps.com/contacto/","https://www.linkedin.com/company/develapps","App development agency likely using AI coding/research tools","Centralized team access to models for coding, documentation and support","€100","68","74","Warm"
"Group A","ABC Industriebedarf Walter Zettler GmbH","https://zettler-industriebedarf.de","Germany","Industrial Trading / Tool Trading","10-19","Walter Zettler / Petra Zettler","info@zettler-industriebedarf.com","https://zettler-industriebedarf.de/kontakt/","https://www.linkedin.com/search/results/companies/?keywords=ABC%20Industriebedarf%20Walter%20Zettler","Contact/request workflows and regional B2B product expertise","AI can classify requests, draft quotes, compare products and create local marketing copy","€50","82","74","Warm"
"Group C","Studio Cappello","https://www.studiocappello.it","Italy","Digital Marketing Agency","20-50","Public management not confirmed","","https://www.studiocappello.it/contatti/","https://www.linkedin.com/company/studio-cappello","Digital agency with content, SEO and client reporting workload","AI for reports, research, ad copy, SEO and client communication","€100","68","73","Warm"
"Group B","Respire","https://www.respire.co","France","DTC Cosmetics E-commerce","20-50","Public management not confirmed","","https://www.respire.co/pages/contact","https://www.linkedin.com/company/respire","DTC brand with product education, ads and support workload","AI for product descriptions, social posts, translations and customer answers","€100","66","73","Warm"
"Group D","SparkFabrik","https://www.sparkfabrik.com","Italy","Cloud / Software Consulting","50-100","Public management not confirmed","","https://www.sparkfabrik.com/en/contact-us/","https://www.linkedin.com/company/sparkfabrik","Cloud/software consultancy with likely AI-assisted engineering workflows","Model access for docs, cloud scripts, RFPs and internal knowledge search","€100","68","73","Warm"
"Group A","Krause Maschinenhandels & Service GmbH","https://www.machine-trade.de","Germany","Machinery Trading / Technical Service","7","Bernd Krause","gebrauchtmaschinen@t-online.de","https://www.machine-trade.de/kontakt/","https://www.linkedin.com/search/results/companies/?keywords=Krause%20Maschinenhandels%20Service%20GmbH","WhatsApp contact, machine listings and digital inquiry workflow","AI can draft machine descriptions, translate inquiries and summarize service notes","€50","84","73","Warm"
"Group C","NeoAttack","https://neoattack.com","Spain","SEO / Advertising Agency","50-100","Public management not confirmed","","https://neoattack.com/contacto/","https://www.linkedin.com/company/neoattack","SEO/advertising agency likely familiar with AI content tools","AI for content, ads, research, reporting and sales proposals","€100","66","72","Warm"
"Group B","Coffeedesk","https://www.coffeedesk.com","Poland","Cross-border E-commerce","50-100","Public management not confirmed","","https://www.coffeedesk.com/contact","https://www.linkedin.com/company/coffeedesk","International specialty e-commerce with content and support needs","AI for product content, support, translations and promotional copy","€100","66","72","Warm"
"Group D","Monterail","https://www.monterail.com","Poland","Software Agency","80-100","Public management not confirmed","","https://www.monterail.com/contact","https://www.linkedin.com/company/monterail","Software agency likely using AI coding and product tools","Team model access for coding, discovery, docs, proposal drafts and QA","€200","66","72","Warm"
"Group A","FRANK+WARNECKE Industriebedarf GmbH","https://frawa-bs.de","Germany","Industrial Supply / Technical Wholesale","10-20","Malte Hieret","info@frawa-bs.de","https://frawa-bs.de/kontakt/","https://www.linkedin.com/company/frank-warnecke-industriebedarf-gmbh","EDV-controlled order processing, telephone quick service and own fleet","AI can help with quote drafts, email replies, product lookup and supplier translations","€50","78","72","Warm"
"Group B","The Good Roll","https://thegoodroll.com","Netherlands","DTC Sustainable Goods","20-50","Public management not confirmed","","https://thegoodroll.com/pages/contact","https://www.linkedin.com/company/the-good-roll","International sustainable e-commerce brand with content and retail support","AI for product copy, sustainability content, translations and customer support","€100","66","71","Warm"
"Group D","Brainhub","https://brainhub.eu","Poland","Software Development Agency","50-100","Public management not confirmed","","https://brainhub.eu/contact","https://www.linkedin.com/company/brainhub","Software agency likely using AI dev tools and technical research","Multi-model access for coding, documentation, QA and proposal creation","€200","64","71","Warm"
"Group A","Kanne Werkzeuge","https://www.kanne-werkzeuge.de","Germany","Cutting Tool Manufacturing / Service","~50","Volkmar Kanne","","https://www.kanne-werkzeuge.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=Kanne%20Werkzeuge","Family-owned, service-heavy tool business with precision documentation needs","AI can draft tool-service documents, emails, marketing and technical explanations","€100","72","71","Warm"
"Group C","OrangeValley","https://www.orangevalley.nl","Netherlands","SEO / Digital Marketing Agency","50-100","Public management not confirmed","","https://www.orangevalley.nl/contact/","https://www.linkedin.com/company/orangevalley","Digital marketing agency with content, analytics and reporting workload","AI for reporting summaries, SEO content, research and client communication","€100","64","70","Warm"
"Group B","Your KAYA","https://yourkaya.pl","Poland","DTC Personal Care E-commerce","20-50","Public management not confirmed","","https://yourkaya.pl/pages/contact","https://www.linkedin.com/company/your-kaya","DTC brand with education-heavy product content and social channels","AI for product education, customer replies, SEO and social content","€100","64","70","Warm"
"Group D","Railwaymen","https://railwaymen.org","Poland","Software Development Agency","50-100","Public management not confirmed","","https://railwaymen.org/contact","https://www.linkedin.com/company/railwaymen","Software development agency with AI-suitable coding and research workflows","AI model access for code, documentation, client estimates and prototypes","€100","64","70","Warm"
"Group A","Witec GmbH Werkzeug- und Industrietechnik","https://www.witec-tools.de","Germany","Cutting Tool Manufacturing / Trading","10-19","Public management not confirmed","","https://www.witec-tools.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=witec%20Werkzeug%20Industrietechnik","Family business, technical product line and short-delivery tool catalog","AI can generate product explanations, quote emails and technical documentation","€100","70","70","Warm"
"Group C","Fingerspitz","https://fingerspitz.nl","Netherlands","Performance Marketing Agency","20-50","Public management not confirmed","","https://fingerspitz.nl/contact/","https://www.linkedin.com/company/fingerspitz","Marketing agency likely using AI for ads, reporting and analysis","AI for ad variants, research, reports and proposal creation","€100","64","69","Warm"
"Group B","Dille & Kamille","https://www.dille-kamille.com","Netherlands","Online Retailer","50-100","Public management not confirmed","","https://www.dille-kamille.com/contact/","https://www.linkedin.com/company/dille-&-kamille","Cross-border online retail with multilingual product catalog","AI for product copy, support macros, translation and campaign copy","€100","62","69","Warm"
"Group D","Miquido","https://www.miquido.com","Poland","Software Development Agency","80-100","Public management not confirmed","","https://www.miquido.com/contact/","https://www.linkedin.com/company/miquido","Software agency with app, AI and product-development needs","Multi-model access for technical research, docs, code and demos","€100","62","69","Warm"
"Group A","Hirtz Automatisierungstechnik GmbH","https://www.hirtz-automatisierung.de","Germany","Industrial Automation / Technical Service","20-49","Public management not confirmed","","https://www.hirtz-automatisierung.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=Hirtz%20Automatisierungstechnik","Automation, control cabinet, SPS and maintenance services","AI can help document service cases, draft technical offers and translate manuals","€100","68","69","Warm"
"Group C","Universem","https://www.universem.be","Belgium","Digital Marketing Agency","20-50","Public management not confirmed","","https://www.universem.be/contact/","https://www.linkedin.com/company/universem","Digital agency with SEO, ads and client reporting workflows","AI for campaign copy, content briefs, reporting and research","€100","62","68","Warm"
"Group B","Kazidomi","https://www.kazidomi.com","Belgium","Online Retail / DTC","20-50","Public management not confirmed","","https://www.kazidomi.com/en/contact","https://www.linkedin.com/company/kazidomi","Cross-border online retail with multilingual product content","AI for support, product descriptions, email flows and translations","€100","62","68","Warm"
"Group D","The Software House","https://tsh.io","Poland","Software Development Agency","80-100","Public management not confirmed","","https://tsh.io/contact/","https://www.linkedin.com/company/the-software-house","Software agency likely using AI-assisted development","AI model access for coding, discovery, estimates and documentation","€200","60","68","Warm"
"Group A","R&R Automatisierungstechnik GmbH","https://www.rr-automatisierung.de","Germany","Industrial Automation","20-49","Public management not confirmed","","https://www.rr-automatisierung.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=R%26R%20Automatisierungstechnik","Automation and control technology provider with technical documentation load","AI can assist with manuals, offers, support replies and project documentation","€100","66","68","Warm"
"Group C","Dazzle","https://www.dazzle.be","Belgium","Digital Marketing Agency","10-50","Public management not confirmed","","https://www.dazzle.be/contact","https://www.linkedin.com/company/dazzle","Digital agency with content, SEO and campaign workload","AI for proposals, content, client reporting and research","€50","62","67","Warm"
"Group B","Merci Handy","https://www.mercihandy.com","France","DTC Cosmetics E-commerce","20-50","Public management not confirmed","","https://www.mercihandy.com/pages/contact","https://www.linkedin.com/company/merci-handy","DTC brand with social, product and multilingual content workload","AI for ad copy, social content, support and translations","€100","60","67","Warm"
"Group D","Imaginary Cloud","https://www.imaginarycloud.com","Netherlands","Software / Web Development","50-100","Public management not confirmed","","https://www.imaginarycloud.com/contact-us","https://www.linkedin.com/company/imaginary-cloud","Software company likely using AI-assisted design/dev workflows","Multi-model access for coding, UX research, documentation and proposals","€100","60","67","Warm"
"Group A","Metzmeier Werkzeugservice GmbH","https://www.metzmeier-werkzeugservice.de","Germany","Cutting Tool Service / Manufacturing","5-9","Christian Metzmeier / Klaus Metzmeier / Michael Metzmeier","","https://www.metzmeier-werkzeugservice.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=Metzmeier%20Werkzeugservice","Family-run precision tool service with technical support and documentation workload","AI can help with technical emails, service notes, offer drafts and marketing copy","€50","70","67","Warm"
"Group C","AddRetail","https://www.addretail.nl","Netherlands","E-commerce Marketing Agency","10-50","Public management not confirmed","","https://www.addretail.nl/contact/","https://www.linkedin.com/company/addretail","E-commerce agency with content, ads and reporting workload","AI for product feed text, ads, reports and client communication","€50","60","66","Warm"
"Group B","Dalfilo","https://www.dalfilo.com","Italy","DTC Home Textiles E-commerce","20-50","Public management not confirmed","","https://www.dalfilo.com/pages/contact","https://www.linkedin.com/company/dalfilo","DTC brand with product storytelling and international e-commerce needs","AI for product copy, email campaigns, translations and support","€100","60","66","Warm"
"Group D","Theodo Apps / BAM","https://www.bam.tech","France","App Development Company","50-100","Public management not confirmed","","https://www.bam.tech/contact","https://www.linkedin.com/company/bam-tech","App development team likely using AI dev tools and client prototyping","AI access for technical specs, prototypes, documentation and code assistance","€100","58","66","Warm"
"Group A","WeMa Zerspanungswerkzeuge GmbH","https://www.wema-zerspanungswerkzeuge.de","Germany","Cutting Tool Manufacturing / Service","~42","Karin Prem / Maximilian Prem / Florian Prem","","https://www.wema-zerspanungswerkzeuge.de/kontakt","https://www.linkedin.com/search/results/companies/?keywords=WeMa%20Zerspanungswerkzeuge","Family-owned tool service/manufacturing with technical support needs","AI can assist quote drafts, documentation, customer emails and product explanations","€100","66","66","Warm"
"Group C","Evolut","https://www.evolut.agency","Belgium","Digital / Marketing Agency","10-50","Public management not confirmed","","https://www.evolut.agency/contact","https://www.linkedin.com/company/evolut-agency","Agency with content and client delivery workload","AI for research, copy, proposals, reporting and client communication","€50","60","65","Warm"
"Group B","Pinqponq","https://www.pinqponq.com","Germany","DTC Bags / E-commerce","20-50","Public management not confirmed","","https://www.pinqponq.com/pages/contact","https://www.linkedin.com/company/pinqponq","International DTC catalog, sustainability content and social commerce","AI for product storytelling, ad copy, translation and support templates","€100","58","65","Warm"
"Group D","Belighted","https://www.belighted.com","Belgium","Software Development Agency","20-50","Public management not confirmed","","https://www.belighted.com/contact","https://www.linkedin.com/company/belighted","Software agency with SaaS and product-development workflows","AI for coding, documentation, discovery notes and proposal creation","€100","58","65","Warm"
