"Rank","Company","Website","Company Active","Website Active","Decision Maker","Decision Maker Verified","Public Email Or Contact Page","LinkedIn","AI Adoption Evidence","Digital Transformation Evidence","Estimated Monthly AI Spend","Best Outreach Angle","Best Contact Channel","Ease Of Reaching Decision Maker","Probability To Buy Zwima AI","Expected Revenue Score","Verification Sources","Verification Notes"
"11","bitExpert AG","https://www.bitexpert.de","Yes","Yes","Mathias Henss / Mathias Fecht","Yes","info@bitExpert.de","https://www.linkedin.com/company/bitexpert-ag","bitExpert offers KI-readiness assessment, KI prototyping, KI scaling, AI agents and AI tools.","Software consulting company focused on digital transformation, SaaS development and workflow/process modernization.","€200","Lead with model routing and credits billing for KI-readiness, KI prototypes, agents and internal development workflows.","Email to info@bitExpert.de plus LinkedIn to Mathias Henss","76","85","80","https://www.bitexpert.de/de; https://www.bitexpert.de/de/impressum; https://www.linkedin.com/in/mathias-henss-5aba2222","Verified strong AI evidence and public board contacts."
"12","SaphirSolution GmbH","https://www.saphirsolution.de","Yes","Yes","Sebastian Denzin / Niclas Weskamp","Yes","info@saphirsolution.de","https://www.linkedin.com/company/saphirsolution","SaphirSolution has GEO and AI Search Optimization agency pages; LinkedIn references GEO webinars and AI-search visibility.","Full-service online marketing agency for SEO, SEA, e-commerce and social media with international projects.","€100","Lead with AI Search and GEO workflow support for ChatGPT, Perplexity, SGE, client content and reporting.","Email to info@saphirsolution.de plus LinkedIn to Niclas Weskamp","84","84","60","https://www.saphirsolution.de/geo-agentur/; https://www.saphirsolution.de/ai-search-agentur/; https://www.saphirsolution.com/imprint/","Verified direct public email and current managing directors."
"13","cosee GmbH","https://www.cosee.biz","Yes","Yes","Konstantin Diener / Patrick Wolf","Yes","konstantin.diener@cosee.biz","https://www.linkedin.com/company/cosee-gmbh","TU Darmstadt KompAKI profile says cosee develops AI-integrated human-machine interfaces, data analysis and language/text recognition solutions.","Software product agency founded as Fraunhofer SIT spin-off; active in digital product development and industrial AI solutions.","€200","Offer central team access to multiple models for product discovery, client AI prototypes, documentation and research.","Public professional email to Konstantin Diener plus LinkedIn","78","84","80","https://www.tu-darmstadt.de/kompaki/ki_netzwerk/ki_netzwerk_detail/cosee.de.jsp; https://www.linkedin.com/in/konstantin-diener-4030b820a","Verified; use public professional contact from TU profile."
"14","Peerigon GmbH","https://www.peerigon.com","Yes","Yes","Johannes Ewald / Michael Jaser / Matthias Jahn / Paul Torka / Stephan Batteiger","Yes","hello@peerigon.com","https://www.linkedin.com/company/peerigon-gmbh","No explicit AI product offering found, but verified software development team likely uses AI-assisted coding and research tools.","Active custom software development and consulting agency with modern web-development expertise and open-source credibility.","€200","Position Zwima as shared model access for TypeScript teams doing coding, documentation, research and client proof-of-concepts.","Email to hello@peerigon.com plus LinkedIn/GitHub to Johannes Ewald","78","83","80","https://www.peerigon.com/en/contact/; https://www.peerigon.com/en/software-development-consulting/; https://www.peerigon.com/en/our-team/; https://github.com/jhnns","Restored from original Top 20 after verification; strong contact and leadership evidence."
"15","WMS Vertriebs GmbH","https://wms-werkzeuge.de","Yes","Yes","Urban Eggensperger / Yasmin Eggensperger / Oliver Graf","Yes","info@wms-werkzeuge.de","https://www.linkedin.com/search/results/companies/?keywords=WMS%20Werkzeuge","No explicit AI tool usage found, but strong digital procurement/e-commerce workflow and stated goal to digitize all business processes.","B2B online shop, FachWerk eShop, 150,000+ items, service-heavy industrial sales and digital procurement operations.","€200","Focus on product/category text, quote emails, supplier translations and SEO copy for a catalog-heavy industrial webshop.","Email to info@wms-werkzeuge.de or sales contact Oliver Graf","84","82","80","https://wms-werkzeuge.de/handwerk/; https://eshop.wms-werkzeuge.de/Impressum; https://www.stimme.de/themenwelten/24-stunden-24-orte-24-geschichten-71222/stunden-orte-geschichten/wms-vertriebs-gmbh-schwaigern-showroom-zubehoer-handwerk-stihl-promat-ersatzteile-baugeraete-223093","Verified digital transformation signal, but AI adoption is inferred rather than explicit."
"16","qupaya technologies GmbH","https://qupaya.com","Yes","Yes","Markus Ende / Peter Müller","Yes","mail@qupaya.com","https://www.linkedin.com/company/qupaya","Markus Ende public profile states Software & AI; qupaya offers modern Angular/NestJS software engineering and consulting.","Remote-first software engineering consultancy with active expert sessions, modern web stack and digital product development.","€100","Offer a controlled multi-model team account for software research, code review, documentation and customer-facing AI guidance.","Email to mail@qupaya.com plus LinkedIn to Markus Ende","82","82","60","https://qupaya.com/about/; https://qupaya.com/imprint/; https://www.linkedin.com/in/markus-ende-54b1a818a","Verified small team and direct founder email path; lower revenue score than larger software agencies."
"17","WESTO Zerspanungswerkzeuge J. Wendt u. U. Stoldt GmbH","https://www.westo-werkzeuge.de","Yes","Yes","Benjamin Janson / Sebastian Janson","Yes","https://www.westo-werkzeuge.de/impressum","https://www.linkedin.com/company/westo-zerspanungswerkzeuge-j-wendt-u-u-stoldt-gmbh","No explicit AI adoption found; leadership has B2B/B2C e-commerce experience and company has technical sales/support workload.","2026 succession to next generation, technical product business, customer-focused tool trading and active website.","€100","Position Zwima as a simple sales-support AI for quote drafts, supplier emails, translated product explanations and follow-ups.","Contact form / imprint plus LinkedIn to Benjamin Janson","80","78","60","https://www.westo-werkzeuge.de/ueber-uns; https://www.westo-werkzeuge.de/impressum; https://www.linkedin.com/in/benjamin-janson-93530a238","Verified active and current management; lower score because AI evidence is not explicit."
"18","artundweise GmbH","https://www.artundweise.de","Yes","Yes","Dirk Beckmann","Yes","moin@artundweise.de","https://www.linkedin.com/company/artundweise","Dirk Beckmann posts about teams testing ChatGPT, Claude and Gemini; agency offers GEO/LLMO for ChatGPT, Gemini and AI search.","Digital agency with content strategy, web, social, SEO, GEO and internal Notion-based workflow system connected to Slack/Drive.","€100","Pitch Zwima as shared model access for GEO/LLMO strategy, client content, internal workflow context and prompt standardization.","Email to moin@artundweise.de plus LinkedIn to Dirk Beckmann","78","78","60","https://www.artundweise.de/fakten; https://www.artundweise.de/geo-agentur; https://www.linkedin.com/in/dirk-beckmann-bremen","Verified replacement added because public AI evidence is stronger than Avocadostore's."
"19","mindshape GmbH","https://www.mindshape.de","Yes","Yes","Sebastian Erlhofer","Yes","info@mindshape.de","https://www.linkedin.com/company/mindshape-gmbh","LinkedIn activity references GEO, Brandbuilding and KI Agents; agency discusses digital visibility and online marketing.","Owner-led digital agency for online marketing, web development and data management; founder now sole managing director.","€100","Offer a shared AI layer for GEO, AI Overviews visibility, SEO content, technical content and client reporting.","Email to info@mindshape.de plus LinkedIn to Sebastian Erlhofer","76","77","60","https://www.mindshape.de/ueber-uns; https://www.mindshape.de/impressum; https://www.linkedin.com/company/mindshape-gmbh","Corrected decision maker: Robert Neumcke reportedly leaves management Jan 2026; Sebastian Erlhofer remains."
"20","roastmarket GmbH","https://www.roastmarket.de","Yes","Yes","Matthias Sickinger / Marius Müller","Yes","info@roastmarket.de","https://www.linkedin.com/company/roast-market","PaperOffice AI case study says roastmarket automated supplier contracts, certificates and customs documents using AI; LinkedIn lists Director Product, Data & AI.","E-commerce pure player with app, large catalog, DACH/international expansion and digital supply/document workflows.","€200","Frame Zwima as a low-friction AI assistant for product content, supplier-document workflows, support replies and internal data/AI experiments.","Business email info@roastmarket.de or LinkedIn to Marius Müller","70","76","80","https://www.roastmarket.de/impressum; https://report.melitta-group.com/annual-report-2023/annual-reports-of-the-business-units/roast-market.html; https://paperoffice.ai/en/ai-success-stories-case-studies-customers/roastmarket-coffee-ecommerce/","Verified real company and AI evidence; lower score due larger structure and less direct founder access."
