"Company","Country","Industry","Website","Founder","LinkedIn","Public Email","Estimated Employees","AI Adoption Signals","Reason To Buy Zwima AI","Estimated Monthly Spend","Ease Of Contact Score","Buying Probability Score"
"S2S Group","France","French-Chinese Marketing / Livestream Commerce","https://s2sgroup.fr","Channe Bernard / Leo Wu","https://www.linkedin.com/search/results/companies/?keywords=S2S%20Group%20France","https://s2sgroup.fr/en/contact-en/","10-50","French-Chinese marketing agency, Douyin-approved MCN, KOL promotion, livestream selling and digital marketing training.","Zwima AI can support livestream scripts, KOL briefs, Chinese/French copy, campaign reporting, translation and market research.","€200","66","80"
"YunSheng","Netherlands","Import Export / Wholesale Retail","https://yunsheng.nl","Chinese founder not publicly named","https://www.linkedin.com/search/results/companies/?keywords=YunSheng%20Netherlands","https://yunsheng.nl/","5-20","Chinese-language site for Europe-facing trade, sourcing, logistics and aftersales in baby products, home goods and cycling equipment.","Zwima AI can help with product listings, supplier/customer translation, aftersales replies, catalog text and procurement communication.","€100","68","78"
"CEEC Netherlands","Netherlands","Cross-border E-commerce Services","http://ceecnl.com","Chinese-Dutch China-Europe e-commerce center","https://www.linkedin.com/search/results/companies/?keywords=China%20Europe%20Netherlands%20Cross-border%20E-commerce%20Development%20Center","contact@ceecnl.com","5-20","One-stop services for Chinese brands entering Europe: VAT, logistics, online platform display, warehousing and aftersales.","Zwima AI can support multilingual seller onboarding, compliance summaries, customer service scripts, product descriptions and logistics communication.","€100","80","78"
"SuperDE GmbH","Germany","China Online Distribution / E-commerce","http://www.superdeonline.de","Wei Zhang","https://www.linkedin.com/search/results/companies/?keywords=SuperDE%20GmbH","w.zhang@superdeonline.de","5-20","Online distribution partner in China for baby products, toys, snacks and children's accessories; Chinese managing director.","Zwima AI can help with China-market product descriptions, customer messages, translation, supplier communication and campaign copy.","€100","82","77"
"Alando Global","Belgium","Cross-border E-commerce / Logistics","https://www.linkedin.com/company/firematchglobal","Kathy De Leye and Chinese/European founding team","https://www.linkedin.com/in/kathydeleye","https://www.linkedin.com/company/firematchglobal","5-20","E-commerce bridge between Chinese factories and Western consumers, warehouse in Liege, multilingual customer service and brand building.","Zwima AI can support product content, customer support, warehouse SOPs, multilingual marketplace copy and brand communication.","€100","66","76"
"Baosen Suntop Europe B.V.","Netherlands","Freight Forwarding / Amazon FBA Logistics","https://www.baosensuntop.eu","Baosen Suntop Logistics management team","https://www.linkedin.com/search/results/companies/?keywords=Baosen%20Suntop%20Europe","marketing@baosencn.cn","20-100","Chinese logistics group with Netherlands/Germany subsidiaries, Amazon FBA logistics, AEO customs and cross-border supply-chain services.","Zwima AI can help with customer service, logistics documentation, customs communication, multilingual support and quotation drafting.","€200","72","75"
"Sunbird Logistics B.V.","Netherlands","Supply Chain / Solar Logistics","https://www.sunbirdlogistics.com","Chinese logistics management team","https://www.linkedin.com/search/results/companies/?keywords=Sunbird%20Logistics","info@sunbirdlogistics.com","20-100","Chinese-Europe solar supply-chain provider with bonded warehouses in Netherlands, Germany and France.","Zwima AI can support multilingual customer support, warehouse SOPs, shipment updates, technical documentation and quotation workflows.","€200","74","74"
"FreDer / KNG Asia","Belgium","China-Europe Business Consulting / Supply Chain","https://www.freder.be","Frederic Derbaudrenghien / Wang Qian","https://www.linkedin.com/in/frederbau/","frederic@freder.be","5-20","China-Europe consulting, sourcing, supply-chain management, import/export, localization, marketing and China-based support team.","Zwima AI can help with sourcing research, supplier communication, bilingual proposals, market intelligence and client reporting.","€100","82","73"
"Yuguo Trading Germany GmbH","Germany","Import Export / Consumer Goods","https://yuguogermany.com","Naresh Bagga / Yuguo China parent management","https://www.linkedin.com/search/results/companies/?keywords=Yuguo%20Trading%20Germany","https://yuguogermany.com/yuguo-germany-connect-us/","5-20","European B2B subsidiary of Chinese consumer-goods/e-commerce group with China manufacturing network and inquiry workflows.","Zwima AI can support product catalog generation, B2B inquiry handling, translation, supplier/customer messaging and market-entry content.","€100","64","72"
"Red Avenue Europe GmbH","Germany","Industrial Materials Import Export","https://www.redavenuechem.com","Jiaqiu Zhu","https://www.linkedin.com/search/results/companies/?keywords=Red%20Avenue%20Europe","https://www.redavenuechem.com/contact.html","5-20","Chinese-managed Germany entity for import/export and distribution of industrial chemicals, synthetic resins and biodegradable materials.","Zwima AI can help with technical document summaries, product translations, customer replies, supplier communication and quote support.","€100","58","69"
